text, location, date
Moderna Just Made the Pfizer Vaccine's Biggest Weakness an Even Bigger One https://t.co/5HRvrlJxyM, TX, 2021-05-02
Moderna Just Made the Pfizer Vaccine's Biggest Weakness an Even Bigger One https://t.co/U3fUK2K4bk, CA, 2021-05-02
@CNN @PamelaBrownCNN : Look @celinegounder I know The @pfizer/@BioNTech_Group vaccine works. I already took my firs… https://t.co/0KrjCchJz0, NY, 2021-05-02
RT @CBCNews: The latest numbers come as the Ontario government is preparing to expand vaccine eligibility across the province as a boost in…, FL, 2021-05-02
RT @JulienMercille: Pfizer-BioNTech Moderna refused to join WHO's C-TAP for vaccines. Now the India surge is causing crisis. - Los Angeles…, CA, 2021-05-02
RT @DrEricDing: Vaccines for kids 5-11: Data on how well the Pfizer-BioNTech #COVID19 vaccine works in kids ages 5 to 11 could be available…, CA, 2021-05-02
RT @EricTopol: Another real world evidence case in point Brazil's success vs P.1 in decreasing morality with Sinovac and Astra-Zeneca vacci…, NY, 2021-05-02
@Doreldoggo @jdcmedlock I wish China and Russia would steal our Covid vaccine tech. I don't understand why they did… https://t.co/fGUa01xQxC, CA, 2021-05-02
RT @EricTopol: Another real world evidence case in point Brazil's success vs P.1 in decreasing morality with Sinovac and Astra-Zeneca vacci…, CA, 2021-05-02
Vaccine appointments are available at NYC Vaccine Hub - The Livonia (Moderna) 506 Livonia Avenue Brooklyn NY 11… https://t.co/0Mz3ZdI2uM, NY, 2021-05-02
Vaccine appointments are available at NYC Vaccine Hub - Essex Crossing (Moderna) 244B Broome Street Manhattan NY… https://t.co/Q8pWObVJdg, NY, 2021-05-02
RT @PMorris185: Dr. Fauci clears Up The Facts Around The 2nd Shot &amp; Explains Why Everyone Getting Pfizer &amp; Moderna Should Get Their Follow-…, NY, 2021-05-02
Dr. Fauci clears Up The Facts Around The 2nd Shot &amp; Explains Why Everyone Getting Pfizer &amp; Moderna Should Get Their… https://t.co/CeVP8KcQGX, NY, 2021-05-02
Vaccine appointments are available at NYC Vaccine Hub - The Livonia (Moderna) 506 Livonia Avenue Brooklyn NY 11… https://t.co/0Mz3ZdI2uM, NY, 2021-05-02
RT @PMorris185: Dr. Fauci clears Up The Facts Around The 2nd Shot &amp; Explains Why Everyone Getting Pfizer &amp; Moderna Should Get Their Follow-…, NY, 2021-05-02
Dr. Fauci clears Up The Facts Around The 2nd Shot &amp; Explains Why Everyone Getting Pfizer &amp; Moderna Should Get Their… https://t.co/CeVP8KcQGX, NY, 2021-05-02
Vaccine appointments are available at NYC Vaccine Hub - Essex Crossing (Moderna) 244B Broome Street Manhattan NY… https://t.co/Q8pWObVJdg, NY, 2021-05-02
@laulessj @SlingerPill But everybody we asked either already got it or they don't want it. We have moderna but ever… https://t.co/GnBgi6dOOt, FL, 2021-05-02
Moderna Just Made the Pfizer Vaccine's Biggest Weakness an Even Bigger One https://t.co/5HRvrlJxyM, TX, 2021-05-02
@summercannot That was my second Moderna. First one I just had a sore arm for a day., TX, 2021-05-02
Moderna Just Made the Pfizer Vaccine's Biggest Weakness an Even Bigger One https://t.co/U3fUK2K4bk, CA, 2021-05-02
@Doreldoggo @jdcmedlock Also wtf is wrong with you Dorel? If it was the case that intellectual property waivers cou… https://t.co/e5Yz5PPscx, CA, 2021-05-02
@samanthajferris Moderna #1 sore arm only. Got Moderna #2 @ 730am on a Saturday then did 5K worked in office 2 h… https://t.co/GxL0axab2J, CA, 2021-05-02
@nypost He's sending the absolute wrong message.  I wear a mask and just received my 2nd Moderna shot on Friday but… https://t.co/vQrNnNbdp3, CA, 2021-05-02
RT @Astrochologist: That moderna mama and Pfizer papi stuff is bizarre. https://t.co/sxV2Tw62Ia, CA, 2021-05-02
